----
1232	2017-10-10 01:14:25.43428	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
1233	2017-10-10 01:14:25.43428	Repository	A:UnitTestAdapter: Running test	T:11				CacheProvider configured: SenseNet.ContentRepository.Tests.Implementations.EmptyCache
1234	2017-10-10 01:14:25.43428	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1235	2017-10-10 01:14:25.48645	Index	A:UnitTestAdapter: Running test	T:11	Op:238	Start		IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1236	2017-10-10 01:14:25.48745	Index	A:UnitTestAdapter: Running test	T:11	Op:238	End	00:00:00.001002	IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1237	2017-10-10 01:14:25.48745	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1238	2017-10-10 01:14:25.48745	Repository	A:UnitTestAdapter: Running test	T:11				Sending a goodbye message.
1239	2017-10-10 01:14:25.48745	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ClusterChannelMonitor
1240	2017-10-10 01:14:25.48745	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down SnMaintenance
1241	2017-10-10 01:14:25.48745	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ExchangeSubscriptionService
1242	2017-10-10 01:14:25.48745	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down VoidChannel
1243	2017-10-10 01:14:25.48745	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down IndexingEngine.
1244	2017-10-10 01:14:25.48745	Repository	A:UnitTestAdapter: Running test	T:11				Repository has stopped. Running time: 0.00:00:00
>1245	2017-10-10 01:14:25.49143	Test	A:UnitTestAdapter: Running test	T:11				END test: InMemDb_LoadRootById
>1246	2017-10-10 01:14:25.49444	Test	A:UnitTestAdapter: Running test	T:11				START test: InMemDb_LoadRootByPath
1247	2017-10-10 01:14:25.49948	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
1248	2017-10-10 01:14:25.49948	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
1249	2017-10-10 01:14:25.49948	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
1250	2017-10-10 01:14:25.50049	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
1251	2017-10-10 01:14:25.50049	Repository	A:UnitTestAdapter: Running test	T:11				CacheProvider configured: SenseNet.ContentRepository.Tests.Implementations.EmptyCache
1252	2017-10-10 01:14:25.50049	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1253	2017-10-10 01:14:25.54959	Index	A:UnitTestAdapter: Running test	T:11	Op:239	Start		IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1254	2017-10-10 01:14:25.54959	Index	A:UnitTestAdapter: Running test	T:11	Op:239	End	00:00:00.000000	IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1255	2017-10-10 01:14:25.55062	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1256	2017-10-10 01:14:25.55062	Repository	A:UnitTestAdapter: Running test	T:11				Sending a goodbye message.
1257	2017-10-10 01:14:25.55062	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ClusterChannelMonitor
1258	2017-10-10 01:14:25.55062	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down SnMaintenance
1259	2017-10-10 01:14:25.55062	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ExchangeSubscriptionService
1260	2017-10-10 01:14:25.55062	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down VoidChannel
1261	2017-10-10 01:14:25.55062	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down IndexingEngine.
1262	2017-10-10 01:14:25.55062	Repository	A:UnitTestAdapter: Running test	T:11				Repository has stopped. Running time: 0.00:00:00
>1263	2017-10-10 01:14:25.55460	Test	A:UnitTestAdapter: Running test	T:11				END test: InMemDb_LoadRootByPath
>1264	2017-10-10 01:14:25.55763	Test	A:UnitTestAdapter: Running test	T:11				START test: InMemDb_Create
1265	2017-10-10 01:14:25.56366	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
1266	2017-10-10 01:14:25.56366	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
1267	2017-10-10 01:14:25.56366	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
1268	2017-10-10 01:14:25.56366	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
1269	2017-10-10 01:14:25.56366	Repository	A:UnitTestAdapter: Running test	T:11				CacheProvider configured: SenseNet.ContentRepository.Tests.Implementations.EmptyCache
1270	2017-10-10 01:14:25.56366	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1271	2017-10-10 01:14:25.61379	Index	A:UnitTestAdapter: Running test	T:11	Op:240	Start		IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1272	2017-10-10 01:14:25.61379	Index	A:UnitTestAdapter: Running test	T:11	Op:240	End	00:00:00.000000	IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1273	2017-10-10 01:14:25.61780	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1274	2017-10-10 01:14:25.61780	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:241	Start		GC.Save: Mode:RaiseVersion, VId:0, Path:/Root/SystemFolder-20171010011425
1275	2017-10-10 01:14:25.61780	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:242	Start		NODE.SAVE Id: 0, VersionId: 0, Version: V1.0.A, Name: Node1, ParentPath: /Root
1276	2017-10-10 01:14:25.61780	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/Node1
1277	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:11	Op:243	Start		Indexing node
1278	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:11	Op:244	Start		DocumentPopulator.CommitPopulateNode. Version: V1.0.A, VersionId: 1239, Path: /Root/Node1
1279	2017-10-10 01:14:25.61980	IndexQueue	A:UnitTestAdapter: Running test	T:11				IAQ: A1 arrived. AddDocumentActivity, /root/node1
1280	2017-10-10 01:14:25.61980	IndexQueue	A:UnitTestAdapter: Running test	T:11				IAQ: A1 enqueued.
1281	2017-10-10 01:14:25.61980	IndexQueue	A:UnitTestAdapter: Running test	T:11				IAQ: A1 blocks the T11
1282	2017-10-10 01:14:25.61980	IndexQueue	A:UnitTestAdapter: Running test	T:7				IAQ: A1 dequeued.
1283	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:7	Op:245	Start		IAQ: A1 EXECUTION.
1284	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:7				LM: AddDocumentActivity: [1239/1239], /root/node1. ActivityId:1, ExecutingUnprocessedActivities:False
1285	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:7	Op:246	Start		LM: LuceneDocumentActivity.CreateDocument (VersionId:1239)
1286	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:7	Op:246	End	00:00:00.000000	LM: LuceneDocumentActivity.CreateDocument (VersionId:1239)
1287	2017-10-10 01:14:25.61980	IndexQueue	A:UnitTestAdapter: Running test	T:7				IAQ: waiting resource released T11.
1288	2017-10-10 01:14:25.61980	IndexQueue	A:UnitTestAdapter: Running test	T:7				IAQ: A1 finished.
1289	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:11	Op:244	End	00:00:00.000000	DocumentPopulator.CommitPopulateNode. Version: V1.0.A, VersionId: 1239, Path: /Root/Node1
1290	2017-10-10 01:14:25.61980	IndexQueue	A:UnitTestAdapter: Running test	T:7				IAQ: State after finishing A1: 1()
1292	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:11	Op:243	End	00:00:00.000000	Indexing node
1291	2017-10-10 01:14:25.61980	Index	A:UnitTestAdapter: Running test	T:7	Op:245	End	00:00:00.000000	IAQ: A1 EXECUTION.
1293	2017-10-10 01:14:25.92104	ContentOperation	A:UnitTestAdapter: Running test	T:11				Node created. Id:1239, Path:/Root/Node1
